78,258,blue,-3.837929,1.029472,5.084529
368,272,yellow,0.455175,1.101752,4.519582
370,270,yellow,0.481841,1.075086,4.519582
92,256,blue,-3.627929,0.999471,5.084529
384,270,yellow,0.668508,1.075086,4.519582
78,258,blue,-3.837929,1.029472,5.084529
368,272,yellow,0.455175,1.101752,4.519582
82,248,blue,-3.777929,0.879471,5.084529
82,248,blue,-3.777929,0.879471,5.084529
370,270,yellow,0.481841,1.075086,4.519582
86,248,blue,-3.717929,0.879471,5.084529
374,264,yellow,0.535175,0.995086,4.519582
86,246,blue,-3.717929,0.849471,5.084529
82,248,blue,-3.777929,0.879471,5.084529
84,248,blue,-3.747929,0.879471,5.084529
376,252,yellow,0.561841,0.835086,4.519582
