40,244,blue,-4.407928,0.819471,5.084529
42,248,blue,-4.377929,0.879471,5.084529
114,278,blue,-2.029495,0.818136,3.128941
116,286,blue,-2.011033,0.891982,3.128941
114,278,blue,-2.029495,0.818136,3.128941
40,248,blue,-4.407928,0.879471,5.084529
104,278,blue,-1.970245,0.759698,2.905445
216,230,yellow,-2.828686,0.975154,8.135247
318,240,yellow,-0.271918,0.867967,5.810891
216,230,yellow,-2.828686,0.975154,8.135247
322,246,yellow,-0.203347,0.970825,5.810891
316,238,yellow,-0.306204,0.833682,5.810891
486,262,yellow,1.521381,0.726314,3.389686
318,244,yellow,-0.271918,0.936539,5.810891
