260,230,yellow,-1.477238,0.812629,6.779373
38,264,blue,-3.227584,0.814161,3.697839
36,258,blue,35.743427,-8.235772,-40.676235
260,228,yellow,-1.477238,0.772629,6.779373
38,264,blue,-3.227584,0.814161,3.697839
36,258,blue,35.743427,-8.235772,-40.676235
390,252,yellow,0.748508,0.835086,4.519582
260,236,yellow,-1.477238,0.932629,6.779373
390,252,yellow,0.748508,0.835086,4.519582
260,238,yellow,-1.477238,0.972629,6.779373
260,228,yellow,-1.477238,0.772629,6.779373
388,248,yellow,0.721841,0.781752,4.519582
260,238,yellow,-1.477238,0.972629,6.779373
258,232,yellow,-1.517238,0.852629,6.779373
386,250,yellow,0.695175,0.808419,4.519582
