396,282,yellow,0.745657,1.111577,4.067624
104,260,blue,-3.447929,1.059471,5.084529
102,258,blue,-3.477929,1.029472,5.084529
416,282,yellow,0.896052,1.010525,3.697839
398,282,yellow,0.769657,1.111577,4.067624
86,260,blue,-3.717929,1.059471,5.084529
102,258,blue,-3.477929,1.029472,5.084529
416,282,yellow,0.896052,1.010525,3.697839
96,248,blue,-3.567929,0.879471,5.084529
100,258,blue,-3.507929,1.029472,5.084529
86,260,blue,-3.717929,1.059471,5.084529
406,262,yellow,0.865657,0.871577,4.067624
94,248,blue,-3.597929,0.879471,5.084529
90,250,blue,-3.657929,0.909471,5.084529
94,250,blue,-3.597929,0.909471,5.084529
