42,244,blue,-5.003347,0.936539,5.810891
52,224,blue,-8.455857,1.038943,10.169059
48,242,blue,-4.900490,0.902253,5.810891
50,224,blue,-8.515858,1.038943,10.169059
232,230,yellow,-2.444686,0.975154,8.135247
42,242,blue,-5.003347,0.902253,5.810891
48,242,blue,-4.900490,0.902253,5.810891
50,224,blue,-8.515858,1.038943,10.169059
50,224,blue,-8.515858,1.038943,10.169059
46,240,blue,-4.934775,0.867967,5.810891
230,230,yellow,-2.492686,0.975154,8.135247
232,232,yellow,-2.444686,1.023154,8.135247
406,256,yellow,0.865657,0.799577,4.067624
